place,count,percentage
Sans Lieu,713,23.262642740619903
Saint-Germain-en-Laye,16,0.5220228384991843
Paris,2201,71.81076672104405
Pontoise,20,0.6525285481239804
Orléans,27,0.8809135399673736
Bordeaux,35,1.1419249592169658
Rouen,24,0.7830342577487764
