nb_page,count,percentage
8,918,29.9510603588907
7,584,19.053833605220227
6,169,5.513866231647635
16,141,4.600326264274062
4,268,8.743882544861338
32,44,1.435562805872757
11,95,3.0995106035889073
10,29,0.9461663947797716
12,127,4.143556280587276
2,7,0.22838499184339314
15,123,4.01305057096248
14,67,2.1859706362153344
20,44,1.435562805872757
23,30,0.9787928221859705
25,1,0.03262642740619902
84,5,0.1631321370309951
30,17,0.5546492659053833
18,18,0.5872756933115824
133,1,0.03262642740619902
31,25,0.8156606851549755
64,3,0.09787928221859706
75,1,0.03262642740619902
27,9,0.2936378466557912
22,21,0.6851549755301795
40,12,0.3915171288743882
44,6,0.1957585644371941
80,4,0.13050570962479607
19,28,0.9135399673735726
24,50,1.631321370309951
274,1,0.03262642740619902
38,8,0.26101141924959215
28,14,0.4567699836867863
3,43,1.4029363784665578
39,8,0.26101141924959215
270,1,0.03262642740619902
108,1,0.03262642740619902
116,1,0.03262642740619902
36,13,0.4241435562805873
87,1,0.03262642740619902
43,3,0.09787928221859706
48,4,0.13050570962479607
35,6,0.1957585644371941
1,23,0.7504078303425775
13,8,0.26101141924959215
29,3,0.09787928221859706
26,12,0.3915171288743882
37,1,0.03262642740619902
46,5,0.1631321370309951
119,1,0.03262642740619902
34,4,0.13050570962479607
240,2,0.06525285481239804
192,1,0.03262642740619902
63,1,0.03262642740619902
59,2,0.06525285481239804
94,1,0.03262642740619902
72,1,0.03262642740619902
45,1,0.03262642740619902
42,3,0.09787928221859706
248,1,0.03262642740619902
9,3,0.09787928221859706
17,3,0.09787928221859706
166,1,0.03262642740619902
74,1,0.03262642740619902
47,3,0.09787928221859706
152,1,0.03262642740619902
118,1,0.03262642740619902
95,2,0.06525285481239804
56,2,0.06525285481239804
5,5,0.1631321370309951
456,1,0.03262642740619902
235,1,0.03262642740619902
54,1,0.03262642740619902
50,2,0.06525285481239804
218,1,0.03262642740619902
68,2,0.06525285481239804
150,1,0.03262642740619902
311,1,0.03262642740619902
52,1,0.03262642740619902
263,1,0.03262642740619902
114,1,0.03262642740619902
41,1,0.03262642740619902
79,1,0.03262642740619902
718,1,0.03262642740619902
199,1,0.03262642740619902
107,1,0.03262642740619902
57,1,0.03262642740619902
331,1,0.03262642740619902
428,1,0.03262642740619902
325,1,0.03262642740619902
