year,count,percentage
Sans date,1,0.03262642740619902
1649,476,15.530179445350733
1652,164,5.35073409461664
1651,54,1.7618270799347473
1650,37,1.2071778140293639
1655,1,0.03262642740619902
1648,18,0.5872756933115824
1653,4,0.13050570962479607
