ID,checked
Moreau1172_GALL.xml,NA
Moreau1173_GBOOKS.xml,NA
Moreau1180_MAZ.xml,NA
Moreau1181_GALL.xml,NA
Moreau1184_MAZ.xml,NA
Moreau1200_GALL.xml,NA
Moreau1204_GALL.xml,NA
Moreau1206_GALL.xml,NA
Moreau1210_GBOOKS.xml,NA
Moreau1216_MAZ.xml,NA
Moreau1217_GBOOKS.xml,NA
Moreau1218_GBOOKS.xml,NA
Moreau1224_GALL.xml,NA
Moreau1225_GBOOKS.xml,NA
Moreau1227_MAZ.xml,NA
Moreau1228_GALL.xml,NA
Moreau1229_GALL.xml,NA
Moreau1239_GALL.xml,NA
Moreau1242_GBOOKS.xml,NA
Moreau1244_GBOOKS.xml,NA
Moreau1247_MAZ.xml,NA
Moreau1252_GALL.xml,NA
Moreau1255_GBOOKS.xml,NA
Moreau1260_GBOOKS.xml,NA
Moreau1261_GALL.xml,NA
Moreau1264_GBOOKS.xml,NA
Moreau1271_GBOOKS.xml,NA
Moreau1272_GBOOKS.xml,NA
Moreau1276_GBOOKS.xml,NA
Moreau1278_GBOOKS.xml,NA
Moreau1283_MAZ.xml,NA
Moreau1285_GBOOKS.xml,NA
Moreau1289_GBOOKS.xml,NA
Moreau1290_GBOOKS.xml,NA
Moreau1294_GBOOKS.xml,NA
Moreau1305_GBOOKS.xml,NA
Moreau1308_GALL.xml,NA
Moreau1310_GBOOKS.xml,NA
Moreau1317_GBOOKS.xml,NA
Moreau1321_GBOOKS.xml,NA
Moreau1322_GALL.xml,NA
Moreau1326_GBOOKS.xml,NA
Moreau1327_GBOOKS.xml,NA
Moreau1328_GBOOKS.xml,NA
Moreau1329_GBOOKS.xml,NA
Moreau1336_GALL.xml,NA
Moreau1337_GALL.xml,NA
Moreau1338_GBOOKS.xml,NA
Moreau1342_GBOOKS.xml,NA
Moreau1351_GBOOKS.xml,NA
Moreau1359_MAZ.xml,NA
Moreau1360_GBOOKS.xml,NA
Moreau1370_MAZ.xml,NA
Moreau1371_GALL.xml,NA
Moreau1372_GALL.xml,NA
Moreau1376_MAZ.xml,NA
Moreau1386_GBOOKS.xml,NA
Moreau1389_GBOOKS.xml,NA
Moreau1392_GBOOKS.xml,NA
Moreau1394_MAZ.xml,NA
Moreau1395_GBOOKS.xml,NA
Moreau1402_GBOOKS.xml,NA
Moreau1404_MAZ.xml,NA
Moreau1419_GALL.xml,NA
Moreau1424_GALL.xml,NA
Moreau1425_GBOOKS.xml,NA
Moreau1428_GBOOKS.xml,NA
Moreau1431_MAZ.xml,NA
Moreau1434_GBOOKS.xml,NA
Moreau1435_MAZ.xml,NA
Moreau1438_GBOOKS.xml,NA
Moreau1439_GALL.xml,NA
Moreau1448_MAZ.xml,NA
Moreau1450_GBOOKS.xml,NA
Moreau1460_GBOOKS.xml,NA
Moreau1461_MAZ.xml,NA
Moreau1464_GBOOKS.xml,NA
Moreau1469_GALL.xml,NA
Moreau1470_GBOOKS.xml,NA
Moreau1472_MAZ.xml,NA
Moreau1473_GBOOKS.xml,NA
Moreau1479_GBOOKS.xml,NA
Moreau1484_GBOOKS.xml,NA
Moreau1487_GBOOKS.xml,NA
Moreau1488_GBOOKS.xml,NA
Moreau1490_GBOOKS.xml,NA
Moreau1499_GBOOKS.xml,NA
Moreau1501_GBOOKS.xml,NA
Moreau1505_GBOOKS.xml,NA
Moreau1512_GBOOKS.xml,NA
Moreau1517_GBOOKS.xml,NA
Moreau1521_GALL.xml,NA
Moreau1522_MAZ.xml,NA
Moreau1531_GBOOKS.xml,NA
Moreau1536_GBOOKS.xml,NA
Moreau1538_MAZ.xml,NA
Moreau1539_GBOOKS.xml,NA
Moreau1540_GBOOKS.xml,NA
Moreau1541_GBOOKS.xml,NA
Moreau1543_GALL.xml,NA
Moreau1544_GBOOKS.xml,NA
Moreau1548_GBOOKS.xml,NA
Moreau1551_GBOOKS.xml,NA
Moreau1552_GBOOKS.xml,NA
Moreau1554_GBOOKS.xml,NA
Moreau1555_GBOOKS.xml,NA
Moreau1558_GBOOKS.xml,NA
Moreau1559_GBOOKS.xml,NA
Moreau1560_GBOOKS.xml,NA
Moreau1563_GALL.xml,NA
Moreau1564_GALL.xml,NA
Moreau1565_GBOOKS.xml,NA
Moreau1566_GBOOKS.xml,NA
Moreau1568_MAZ.xml,NA
Moreau1569_GBOOKS.xml,NA
Moreau1570_GBOOKS.xml,NA
Moreau1573_GBOOKS.xml,NA
Moreau1574_GBOOKS.xml,NA
Moreau1576_GBOOKS.xml,NA
Moreau1579_GBOOKS.xml,NA
Moreau1580_GBOOKS.xml,NA
Moreau1582_GBOOKS.xml,NA
Moreau1589_GBOOKS.xml,NA
Moreau1592_GBOOKS.xml,NA
Moreau1593_GBOOKS.xml,NA
Moreau1595_GBOOKS.xml,NA
Moreau1597_GBOOKS.xml,NA
Moreau1598_GBOOKS.xml,NA
Moreau1600_GBOOKS.xml,NA
Moreau1603_GBOOKS.xml,NA
Moreau1604_GALL.xml,NA
Moreau1608_GBOOKS.xml,NA
Moreau1611_MAZ.xml,NA
Moreau1612_GBOOKS.xml,NA
Moreau1614_GBOOKS.xml,NA
Moreau1619_GBOOKS.xml,NA
Moreau1621_GBOOKS.xml,NA
Moreau1624_GBOOKS.xml,NA
Moreau1627_GBOOKS.xml,NA
Moreau1630_GBOOKS.xml,NA
Moreau1633_MAZ.xml,NA
Moreau1634_GBOOKS.xml,NA
Moreau1637_GALL.xml,NA
Moreau1639_GBOOKS.xml,NA
Moreau1643_GBOOKS.xml,NA
Moreau1644_MAZ.xml,NA
Moreau1649_MAZ.xml,NA
Moreau1650_MAZ.xml,NA
